ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
1,LIK,XV,O5c-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.29,1.29,Main,,,,,,,,,,,12.01,12.01,3.62,3.62,1.53,0.07,,N,
10,LIK,XV,O5c-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,6.78,2.82,Main,,,,,,,,,,,25.49,25.49,21.34,21.34,2.85,1.77,,N,
100,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Overshot,,,,,,,,,,,,,RECTANGULAR,Indeterminate,No,10.65,1.6,Main,,,,,,,,,,,30.24,30.24,13.66,13.66,4.82,2.84,,N,
1003,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Step,,,,,,,,,,,,,OVAL,NotPrepared,No,6.35,2.08,Main,,,,,,,,,,,13.64,13.64,14.34,14.34,2.54,0.51,,N,
1004,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.76,3.76,Main,,,,,,,,,,,20.77,20.77,12.76,10.89,8.94,2.53,,N,
1005,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.6,6.07,Main,,,,,,,,,,,49.54,49.54,30.79,30.79,12.06,20.12,,N,
1006,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,7.22,2.88,Main,,,,,,,,,,,28.41,28.41,19.53,19.53,1.73,1.53,,N,
1007,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,2.97,1.48,Main,,,,,,,,,,,9.13,9.13,14.32,10.92,2.32,0.24,,N,
1008,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.02,2.32,,,,,,,,,,,,17.48,,11.6,,4.85,1.29,,N,
1009,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,9.86,5.83,Main,,,,,,,,,,,13.42,13.42,20.1,20.1,3.89,1.1,,N,
1010,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.91,1.09,Main,,,,,,,,,,,28.51,28.51,24.48,21.39,1.64,1.97,,N,
1011,LIK,XIII,,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,OVAL,NotPrepared,No,8.1,3.56,Main,,,,,,,,,,,19.34,19.34,16.55,16.55,6.07,2.76,,N,
1012,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,11.26,3.19,Main,,,,,,,,,,,21.34,21.34,26.43,26.43,4,2.68,,N,
101,LIK,XV,O4a-057,,,Opaline/CCS,10-40%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,10.55,3.36,Main,,,,,,,,,,,20.06,20.06,9.66,9.66,5.55,0.97,,N,
1013,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Step,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.96,4.67,Main,,,,,,,,,,,31.38,31.38,18.99,18.99,7.36,5.47,,N,
1014,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,23.04,7.64,Main,,,,,,,,,,,17.71,13.88,25.12,25.12,5.43,3.2,,N,
1015,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,,,Feather,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,17.64,,14.33,,1.92,1.05,,N,
1016,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,ResidualFacetWithBulb,No,5.35,2.38,Main,,,,,,,,,,,23.78,23.78,14.02,9.77,1.85,0.99,,N,
1017,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RHOMBUS,NotPrepared,No,17.59,3.83,Main,,,,,,,,,,,25.44,25.44,24.71,20.2,5.82,4.27,Ut,N,
1018,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,10.86,4,Main,,,,,,,,,,,29.81,29.82,20.24,17.58,4.07,3.44,,N,
1019,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.21,1.76,Main,,,,,,,,,,,12.29,12.29,6.61,6.61,0.94,0.17,,N,
1020,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Bipolar,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,6.7,3.53,Main,,,,,,,,,,,22.12,19.17,17.02,14.54,3.31,1.78,,N,
1021,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,3.57,0.59,Main,,,,,,,,,,,17.55,17.55,10.78,10.78,1.53,0.32,,N,
1022,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,4.39,1.63,,,,,,,,,,,,7.84,,11.92,,2.09,0.21,,N,
102,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.06,0.79,Main,,,,,,,,,,,14.12,14.12,5.49,5.49,1.72,0.13,,N,
1023,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.67,1.26,,,,,,,,,,,,17.72,,11.51,,3.03,0.81,,N,
1024,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,6.25,2.8,Main,,,,,,,,,,,30.35,30.35,16.3,16.3,3.29,2.33,,N,
1025,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.92,1.77,Main,,,,,,,,,,,22.69,22.69,9.37,9.37,2.7,0.69,,N,
1026,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.35,2.23,Main,,,,,,,,,,,18.02,18.02,18.45,13,4.42,1.69,,N,
1027,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,2.38,1.51,Main,,,,,,,,,,,15.26,15.26,5.46,5.46,2.08,0.24,,N,
1028,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,2.68,1.4,Main,,,,,,,,,,,14.77,14.77,5.2,5.2,0.94,0.1,,N,
1029,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.02,0.67,Main,,,,,,,,,,,14.87,14.87,7.62,5.16,1.15,0.16,,N,
1030,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.23,1.2,Main,,,,,,,,,,,13.81,13.81,11.64,5.84,2.02,0.28,,N,
1031,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAPEZOIDAL,,,,,,,,,,,,,,,,16.7,,13.24,,1.6,0.43,,N,
1032,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,5.46,1.75,Main,,,,,,,,,,,15.35,12.65,11.4,11.4,2.33,0.43,,N,
103,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,8.04,4.55,,,,,,,,,,,,11.95,,10.06,,2.7,0.44,,N,
1033,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.7,10.61,Main,,,,,,,,,,,36.55,36.55,19.21,19.21,7.66,7.19,Ut,N,
1034,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,6.81,3.94,Main,,,,,,,,,,,12.08,12.08,8.38,8.38,2.04,0.3,,N,
1035,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.49,8.75,Main,,,,,,,,,,,16.15,16.15,10.89,10.89,3.92,1.22,,N,
1036,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.48,1.55,Main,,,,,,,,,,,14.72,14.72,18.73,18.73,1.78,0.43,,N,
1037,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Bipolar,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,11.79,4.69,Main,,,,,,,,,,,21.73,21.73,16.57,13.37,3.14,1.66,,N,
1038,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,17.42,1.14,Main,,,,,,,,,,,15.31,15.31,21.94,15.11,2.68,0.85,,N,
1039,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.44,1.74,,,,,,,,,,,,13.49,,20.87,,2.3,0.92,,N,
1040,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,,,Feather,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,22.94,,11.13,,2.94,1,,N,
1041,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,OVAL,NotPrepared,No,8.21,1.35,Main,,,,,,,,,,,28.95,28.95,23.57,23.57,4.19,2.77,,N,
1042,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,11.9,3.34,,,,,,,,,,,,17.82,,22.23,,4.95,2.2,,N,
104,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,OVAL,Indeterminate,No,5.93,1.65,Main,,,,,,,,,,,20.18,20.18,17.15,17.15,4.06,1.51,,N,
1043,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.72,0.83,,,,,,,,,,,,15.29,,9.15,,1.8,0.27,,N,
1044,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Hertzian,Feather,,0,0,0,0,0,0,0,0,0,0,0,RECTANGULAR,NotPrepared,No,8.49,4.27,Main,,,,,0,0,0,0,0,0,16.57,16.57,16.4,11.3,4.31,1.34,Ut,N,
1045,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Hinge,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,11.47,2.54,Main,,,,,,,,,,,15.4,15.4,27.18,27.18,4.69,2.06,,N,
1046,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,20.08,4.88,Main,,,,,,,,,,,30.52,30.52,24.34,17.67,5,3.46,,N,
1047,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,11.05,2.99,Main,,,,,,,,,,,11.29,11.29,13.99,11.89,1.89,0.35,,N,
1048,LIK,XIII,O4a-049,,,Hornfels,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform,Bladelet,Cubic,0%,4,1,1,1,4,18.96,22.23,,29.54,,6.3,6,Core om flake,N,
1049,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,13.53,7.18,Main,,,,,,,,,,,26.09,26.09,22.48,22.48,6.93,5.22,,N,
1050,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,7.8,2.78,Main,,,,,,,,,,,19.26,19.26,14.62,13.14,4.42,1.14,,N,
1051,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,OVAL,Indeterminate,No,2.56,1.56,Main,,,,,,,,,,,16.58,16.58,11.61,11.61,2.73,0.52,,N,
1052,LIK,XIII,O4a-049,,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,4.28,1.37,Main,,,,,,,,,,,15.98,15.98,6.95,6.95,1.67,0.24,,N,
105,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,8.21,2.58,Main,,,,,,,,,,,18.72,18.72,10.57,10.57,2.08,0.51,,N,
1053,LIK,XIII,O4a-049,,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,12.35,3.77,Main,,,,,,,,,,,19.42,19.42,15.83,15.83,2.94,1.2,,N,
1054,LIK,XIII,O4a-049,,,Quartzite,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,,,Feather,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,21.94,,12.72,,2.81,0.85,,N,
1055,LIK,XIII,O4a-049,,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,4.42,0.79,Main,,,,,,,,,,,15.05,15.05,22.54,22.54,3.34,0.92,,N,
1056,LIK,XIII,O4a-049,,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,CIRCULAR,NotPrepared,No,12.76,3.63,Main,,,,,,,,,,,30.56,30.56,38.57,38.57,6.86,7.7,,N,
1057,LIK,XIII,O4a-049,,,Quartzite,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITE,,,,,,,,,,,,,,,,64.22,,26,,15.86,15.65,,N,
1058,LIK,XIII,O4a-049,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,16.56,9.76,Main,,,,,,,,,,,48.62,48.62,34.23,34.23,5.59,7.47,,N,
1059,LIK,XIII,O4a-049O4a-049,,,Siltstone,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.22,2.64,Main,,,,,,,,,,,13.92,10.94,21.5,18.01,2.58,0.75,,N,
1060,LIK,XIII,O4a-049,,,Siltstone,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform,Irregular,Cubic,0%,3,3,2,3,4,13.3,59.55,,25.39,,14.38,28.44,,N,
1061,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,12.61,3.12,Main,,,,,,,,,,,36.58,36.58,20.26,20.26,4.4,4.34,Ut,N,
1062,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,OVAL,Indeterminate,No,7.77,1.07,Main,,,,,,,,,,,24.81,24.81,20.32,20.32,2.97,1.6,Ret,N,
106,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,RECTANGULAR,Indeterminate,No,8.05,1.86,Main,,,,,,,,,,,13.41,13.41,18.84,18.84,2.54,0.86,,N,
1063,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,17.01,6.02,Main,,,,,,,,,,,28.19,28.19,30.3,30.3,14.94,21,,N,
1064,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.72,2.03,Main,,,,,,,,,,,28.59,28.59,5.24,5.24,1.8,0.63,,N,
1065,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Bipolar,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,6.48,3.76,Main,,,,,,,,,,,47.91,47.91,21.51,21.51,7.19,8.41,Ret,N,
1066,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,6.45,3.93,,,,,,,,,,,,14.72,,13.38,,3.42,62,,N,
1067,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,2.66,1.3,,,,,,,,,,,,16.06,,8.14,,2.43,0.31,Ut,N,
1068,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,12.44,3.09,Main,,,,,,,,,,,20.71,20.71,19.91,19.91,8.83,4.61,,N,
1069,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,6.82,10.15,Main,,,,,,,,,,,23.87,23.87,19.41,14.47,9.16,3.88,,N,
1070,LIK,XI,O4b-039,,,Opaline/CCS,40-60%,Cobble,Flake,Complete,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Bending,Feather,,0,0,0,0,0,0,0,0,0,0,0,RECTANGULAR,NotPrepared,No,8.31,2.96,Main,,,,,0,0,0,0,0,0,25.63,25.63,30.32,24.88,5.58,3.8,Ut,N,
1071,LIK,XI,O4b-039,,,Opaline/CCS,10-40%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Bipolar,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,12.7,2.07,Main,,,,,,,,,,,34.45,34.45,19.96,19.96,4.03,3.34,,N,
1072,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,13.99,3.85,,,,,,,,,,,,16,,13.37,,3.52,1.2,,N,
107,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,,,Feather,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,17.58,,11.53,,1.35,0.54,,N,
1073,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,6.57,1.65,Main,,,,,,,,,,,17.69,13.24,16.41,11.45,1.31,0.51,,N,
1074,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,6.18,1.62,Main,,,,,,,,,,,16.52,13.88,12.27,10.83,1.1,0.3,,N,
1075,LIK,XI,O4b-039,,,Opaline/CCS,10-40%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,12.43,5.32,Main,,,,,,,,,,,14.78,14.78,17.98,16.31,8.15,2.47,,N,
1076,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,10.07,2.6,Main,,,,,,,,,,,13.86,13.86,11.35,8.7,1.83,0.32,Ret,N,
1077,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Bending,Feather,,0,0,0,0,0,0,0,0,0,0,0,TRIANGULAR,FacetWithBulb,No,19.73,4.74,Main,,,,,0,0,0,0,0,0,26.61,20.59,23.42,17.75,7.23,4.16,Ret,N,
1078,LIK,XI,O4b-039,,,Opaline/CCS,10-40%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,8.65,5.33,Main,,,,,,,,,,,16.28,16.28,11.47,11.47,4.64,1.43,,N,
1079,LIK,XI,O4b-039,,,Opaline/CCS,0%,,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,12.49,,15.06,,3.66,0.87,Ret,N,
