ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
910,LIK,XIII,O4b-49,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,ResidualFacetWithBulb,No,5.19,1.47,Main,,,,,,,,,,,19.14,14.7,15.83,10.48,2.27,0.68,,N,
911,LIK,XIII,O4b-49,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,OVAL,NotPrepared,No,5.1,1.16,Main,,,,,,,,,,,15.28,15.28,16.91,13.66,1.69,0.49,,N,
912,LIK,XIII,O4b-49,,,Opaline/CCS,0%,,Core,,Complete,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,Platform,Bladelet,Spherical,0%,5,4,5,4,4,17.29,30.81,0,17.85,0,13.94,7.68,Core on flake,N,
91,LIK,XV,O5a-057,,,Siltstone,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,11.03,3.14,Main,,,,,,,,,,,12.82,12.82,14.83,14.83,3.26,0.92,,N,
913,LIK,XIII,O4b-49,,,Opaline/CCS,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel,Radial,Cubic,0%,7,5,5,7,3,32,74,37.31,,33.38,,19.61,43.93,,Y
914,LIK,XIII,O4b-49,,,Opaline/CCS,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform,Radial,Cubic,0%,5,3,2,3,4,22.16,26.57,,26.88,,14.32,11.04,,Y,
915,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.06,1.82,Main,,,,,,,,,,,6.54,6.54,12.21,11.67,1.73,0.14,,N,
916,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,3.13,1.98,Main,,,,,,,,,,,13.45,13.45,8.14,7.93,2.21,0.27,,N,
917,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.61,1.26,Main,,,,,,,,,,,5.98,5.98,13.71,13.71,2.41,0.25,,N,
918,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,5.19,2.46,Main,,,,,,,,,,,20.53,16.81,16.65,16.21,2.51,0.9,,N,
919,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,16.15,5.2,,,,,,,,,,,,19.01,,12.86,,6.04,1.85,,Y,
920,LIK,XIII,O4d-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,6.89,3.93,Main,,,,,,,,,,,21.53,21.53,17.21,13.01,6,1.81,,N,
