"","Rem.Weight","Max.thick","Mean.t","GIUR"
"1",2.78,3.54,8.29779761904762,133.506098871171
"2",2.48,4.68,8.29779761904762,257.694802805392
"3",1.18,4.9,8.29779761904762,39.7806731496204
"4",1.62,3.41,8.29779761904762,114.457247802199
"5",0.79,3.41,8.29779761904762,52.5411614423216
"6",0.82,4.88,8.29779761904762,54.1355573135369
"7",0.83,2.31,8.29779761904762,19.5100359366303
"8",1.5,4.73,8.29779761904762,58.602247706163
"9",3.62,7.01,8.29779761904762,88.5832382090433
"10",1.21,3.76,8.29779761904762,80.1179204656308
"11",2.47,5.98,8.29779761904762,194.554870600188
"12",0.92,2.87,8.29779761904762,23.8275484267243
"13",1.29,3.87,8.29779761904762,121.373481945095
"14",2.48,6.91,8.29779761904762,195.36866212443
"15",0.34,2.97,8.29779761904762,44.1713754206676
"16",2.02,3.53,8.29779761904762,82.3963549601747
"17",1.36,3.39,8.29779761904762,69.3582059299358
"18",0.78,2.85,8.29779761904762,31.6784274634578
"19",1.18,3.82,8.29779761904762,39.8924317061261
"20",1.43,3.61,8.29779761904762,191.273531849274
"21",2.34,4.44,8.29779761904762,76.9706445537491
"22",3.43,7.38,8.29779761904762,174.287974858199
"23",1.34,3.44,8.29779761904762,46.3829534281235
"24",1.04,3.1,8.29779761904762,30.9986554757106
"25",2.38,4.95,8.29779761904762,102.417778993442
"26",1.88,4.09,8.29779761904762,133.934125191763
"27",2.04,3.25,8.29779761904762,87.3696224567712
"28",2.43,5.65,8.29779761904762,81.1295111782073
"29",1.32,3.16,8.29779761904762,75.4612636262092
"30",5.08,8.21,8.29779761904762,164.764939958553
"31",1.58,4.59,8.29779761904762,53.9441708332572
"32",1.74,4.34,8.29779761904762,131.935192235256
"33",3.24,6.2,8.29779761904762,105.358461454302
"34",1.95,5.83,8.29779761904762,47.7825645864473
"35",1.34,3.76,8.29779761904762,30.1502589550789
"36",1.67,3.29,8.29779761904762,17.5965926871158
"37",0.37,2.05,8.29779761904762,4.29771876483205
"38",1.32,4.03,8.29779761904762,140.712580637619
