"","contrast","ratio","lower.HPD","upper.HPD"
"203","(STRAT_mod0.1 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",1.46857948251528,1.29806756912932,1.65959751694376
"204","(STRAT_mod0.2 Opaline/CCS) / (STRAT_mod0.3 Opaline/CCS)",2.48126858857177,2.181364483766,2.82931464250407
"205","(STRAT_mod0.2 Opaline/CCS) / (STRAT_mod0.82 Opaline/CCS)",1.32871888100362,1.17240147850868,1.48439617772698
"206","(STRAT_mod0.2 Opaline/CCS) / (STRAT_mod1.08 Opaline/CCS)",1.96301029022147,1.75187220716943,2.19103720891229
"207","(STRAT_mod0.2 Opaline/CCS) / (STRAT_mod1.44 Opaline/CCS)",2.10219356949182,1.84664254584296,2.36619573205196
"208","(STRAT_mod0.2 Opaline/CCS) / (STRAT_mod2.15 Opaline/CCS)",2.50928071673259,1.99081294228433,3.09202315217534
"209","(STRAT_mod0.2 Opaline/CCS) / (STRAT_mod2.88 Opaline/CCS)",7.53774094382039,6.69042423215955,8.33116777687668
"210","(STRAT_mod0.2 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",2.979154197845,2.6595674748036,3.30528780908019
"211","(STRAT_mod0.3 Opaline/CCS) / (STRAT_mod0.82 Opaline/CCS)",0.535988229592633,0.480922501479206,0.588071252143724
"212","(STRAT_mod0.3 Opaline/CCS) / (STRAT_mod1.08 Opaline/CCS)",0.790286632006091,0.721773421235625,0.879801976361553
"213","(STRAT_mod0.3 Opaline/CCS) / (STRAT_mod1.44 Opaline/CCS)",0.84740352567493,0.754775252852805,0.932125102695083
"214","(STRAT_mod0.3 Opaline/CCS) / (STRAT_mod2.15 Opaline/CCS)",1.01081962899063,0.793582497805696,1.23574035739002
"215","(STRAT_mod0.3 Opaline/CCS) / (STRAT_mod2.88 Opaline/CCS)",3.0351592804822,2.77593269104215,3.35246850849118
"216","(STRAT_mod0.3 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",1.19886568908485,1.09409613416753,1.32519121405156
"217","(STRAT_mod0.82 Opaline/CCS) / (STRAT_mod1.08 Opaline/CCS)",1.47590579644883,1.36751920545559,1.58054841329163
"218","(STRAT_mod0.82 Opaline/CCS) / (STRAT_mod1.44 Opaline/CCS)",1.57989004995571,1.4534862663441,1.71320038986606
"219","(STRAT_mod0.82 Opaline/CCS) / (STRAT_mod2.15 Opaline/CCS)",1.88494462698658,1.4796241611916,2.26810730641822
"220","(STRAT_mod0.82 Opaline/CCS) / (STRAT_mod2.88 Opaline/CCS)",5.66201437283151,5.29209764040699,6.04524469175581
"221","(STRAT_mod0.82 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",2.23741766871087,2.0797042285325,2.38715714836809
"222","(STRAT_mod1.08 Opaline/CCS) / (STRAT_mod1.44 Opaline/CCS)",1.06947589906907,0.989230516941941,1.15636154208052
"223","(STRAT_mod1.08 Opaline/CCS) / (STRAT_mod2.15 Opaline/CCS)",1.2755475930041,1.03269625924355,1.56490656358126
"224","(STRAT_mod1.08 Opaline/CCS) / (STRAT_mod2.88 Opaline/CCS)",3.83850613261495,3.57588145735871,4.0778437917732
"225","(STRAT_mod1.08 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",1.51691517027709,1.41642015223776,1.63485604384805
"226","(STRAT_mod1.44 Opaline/CCS) / (STRAT_mod2.15 Opaline/CCS)",1.1915458825213,0.943748413311743,1.45087967820905
"227","(STRAT_mod1.44 Opaline/CCS) / (STRAT_mod2.88 Opaline/CCS)",3.58257365128714,3.29525168922877,3.83709349747118
"228","(STRAT_mod1.44 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",1.41639020998445,1.30070223787738,1.52286299060609
"229","(STRAT_mod2.15 Opaline/CCS) / (STRAT_mod2.88 Opaline/CCS)",3.01080868536572,2.43350815346735,3.69635901007697
"230","(STRAT_mod2.15 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",1.18845433602198,0.964225034966203,1.4691644239517
"231","(STRAT_mod2.88 Opaline/CCS) / (STRAT_mod3.37 Opaline/CCS)",0.395584172882775,0.372514667130254,0.420330194950983
