"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"2752","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod1.08 - STRAT_mod2.15)","Opaline/CCS",-0.0198546530426091,-0.0702499436710919,0.0271333882398479
"2753","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod1.08 - STRAT_mod2.88)","Opaline/CCS",-0.0464981100533539,-0.0841564344584209,-0.0116769730072734
"2754","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod1.08 - STRAT_mod3.37)","Opaline/CCS",-0.0237406201872976,-0.0516461724628412,0.00525320281031227
"2755","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod1.44 - STRAT_mod2.15)","Opaline/CCS",0.0285841620365661,-0.0211766766548349,0.0768302334875841
"2756","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod1.44 - STRAT_mod2.88)","Opaline/CCS",0.00231671139918888,-0.0327749635922729,0.0403931823644852
"2757","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod1.44 - STRAT_mod3.37)","Opaline/CCS",0.0246721682486222,-0.00456954581924407,0.0531908554597971
"2758","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod2.15 - STRAT_mod2.88)","Opaline/CCS",-0.0119083249434091,-0.0622940083705643,0.0358592909019779
"2759","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod2.15 - STRAT_mod3.37)","Opaline/CCS",0.0109203621518432,-0.0318401478733765,0.0568862167275781
"2760","(STRAT_mod0.2 - STRAT_mod3.37) - (STRAT_mod2.88 - STRAT_mod3.37)","Opaline/CCS",0.0369827996426018,0.00749243144317102,0.0659039113638644
"2761","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.3 - STRAT_mod1.08)","Opaline/CCS",0.0486399011316245,0.0267901830349215,0.0702987232453594
"2762","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.3 - STRAT_mod1.44)","Opaline/CCS",0.000210162060233721,-0.022046891963321,0.0228768082821502
"2763","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.3 - STRAT_mod2.15)","Opaline/CCS",0.0145350543590965,-0.026381670081729,0.0528936318555981
"2764","(STRAT_mod0.3 - STRAT_mod0.82) - (STRAT_mod0.3 - STRAT_mod2.88)","Opaline/CCS",-0.0118200535556259,-0.0342708952131416,0.0117207861639734
