"","contrast","odds.ratio","lower.HPD","upper.HPD"
"1","STRAT_mod0.01 / STRAT_mod0.09",9.07270353551728,0.486208762087038,110.348218326014
"2","STRAT_mod0.01 / STRAT_mod0.1",59.6609524216679,3.17061648296252,731.770035148743
"3","STRAT_mod0.01 / STRAT_mod0.2",16.744659576808,0.985158343749071,197.486925629792
"4","STRAT_mod0.01 / STRAT_mod0.3",24.6813904465599,1.74091147601344,303.27808248081
"5","STRAT_mod0.01 / STRAT_mod0.82",31.4797573611888,2.33709873416693,387.234687095624
"6","STRAT_mod0.01 / STRAT_mod1.08",35.498335874215,2.33825063049626,435.253034039834
"7","STRAT_mod0.01 / STRAT_mod1.44",12.6336700489038,0.823750199512376,152.239788101186
"8","STRAT_mod0.01 / STRAT_mod2.15",26.0080506994939,1.33556306694828,325.578566244201
"9","STRAT_mod0.01 / STRAT_mod2.88",30.3169871038597,1.90509794578304,379.770275397327
"10","STRAT_mod0.01 / STRAT_mod3.37",30.7123939148173,1.95571125597832,377.226009994089
"11","STRAT_mod0.09 / STRAT_mod0.1",6.53860226199636,2.78444603111134,12.507539004758
"12","STRAT_mod0.09 / STRAT_mod0.2",1.82045762006748,0.719903479935619,3.61893910127817
"13","STRAT_mod0.09 / STRAT_mod0.3",2.73090047548958,1.1200316895748,5.15602201415959
"14","STRAT_mod0.09 / STRAT_mod0.82",3.46643818503815,1.58895469993986,6.62081446914775
"15","STRAT_mod0.09 / STRAT_mod1.08",3.89997925369341,1.69827486890057,7.22710973058539
"16","STRAT_mod0.09 / STRAT_mod1.44",1.39324061941229,0.581648158219827,2.66439239112798
"17","STRAT_mod0.09 / STRAT_mod2.15",2.85887076521431,1.14262238053325,5.65956394976483
"18","STRAT_mod0.09 / STRAT_mod2.88",3.3257299525494,1.48378021581219,6.27437378632465
"19","STRAT_mod0.09 / STRAT_mod3.37",3.37663221378455,1.589461474404,6.4317533358198
"20","STRAT_mod0.1 / STRAT_mod0.2",0.278809396782091,0.172542186376112,0.406776578642313
"21","STRAT_mod0.1 / STRAT_mod0.3",0.418646164109088,0.288418775090835,0.57676551682181
"22","STRAT_mod0.1 / STRAT_mod0.82",0.532245346609802,0.379395499673061,0.695525765814258
"23","STRAT_mod0.1 / STRAT_mod1.08",0.596469862065879,0.437918182213128,0.782739664638914
"24","STRAT_mod0.1 / STRAT_mod1.44",0.213558336305266,0.14324977810131,0.294398762751534
"25","STRAT_mod0.1 / STRAT_mod2.15",0.435638773950752,0.25140421184019,0.650335473783103
"26","STRAT_mod0.1 / STRAT_mod2.88",0.509874203810037,0.36424740040609,0.677791987748893
"27","STRAT_mod0.1 / STRAT_mod3.37",0.518138351217409,0.379542510581101,0.67330497474849
"28","STRAT_mod0.2 / STRAT_mod0.3",1.50028453674433,0.943909361933213,2.2212378559917
"29","STRAT_mod0.2 / STRAT_mod0.82",1.90903874899865,1.27440582701516,2.74822317969291
"30","STRAT_mod0.2 / STRAT_mod1.08",2.1442484801684,1.4217025758859,3.06860259067304
"31","STRAT_mod0.2 / STRAT_mod1.44",0.764190360245557,0.460134314242669,1.12200940733597
"32","STRAT_mod0.2 / STRAT_mod2.15",1.56109832662945,0.868484369803644,2.51357768217661
"33","STRAT_mod0.2 / STRAT_mod2.88",1.82671193467071,1.18109497820874,2.62456874683682
"34","STRAT_mod0.2 / STRAT_mod3.37",1.85856879109408,1.20455087056363,2.6369960833684
"35","STRAT_mod0.3 / STRAT_mod0.82",1.27182615210724,0.927831861422499,1.67752434649209
"36","STRAT_mod0.3 / STRAT_mod1.08",1.42441812112536,1.03614845924671,1.86057919512661
"37","STRAT_mod0.3 / STRAT_mod1.44",0.508577714518937,0.344000606728882,0.709439398075908
"38","STRAT_mod0.3 / STRAT_mod2.15",1.03819829534863,0.614309162132485,1.58734863516929
"39","STRAT_mod0.3 / STRAT_mod2.88",1.21609178408959,0.882568300866654,1.6233271927518
"40","STRAT_mod0.3 / STRAT_mod3.37",1.23349106420852,0.921919143170282,1.63286521212096
"41","STRAT_mod0.82 / STRAT_mod1.08",1.1195080527411,0.878170417980051,1.37568504108444
"42","STRAT_mod0.82 / STRAT_mod1.44",0.400678851248256,0.291949381350735,0.539030824595982
"43","STRAT_mod0.82 / STRAT_mod2.15",0.816106367143551,0.508242433347413,1.19198208349825
"44","STRAT_mod0.82 / STRAT_mod2.88",0.957376425373445,0.741421493172697,1.2124130606282
"45","STRAT_mod0.82 / STRAT_mod3.37",0.970748582511252,0.771511300397589,1.1979479184279
"46","STRAT_mod1.08 / STRAT_mod1.44",0.357899600668323,0.25862615043134,0.476959738972639
"47","STRAT_mod1.08 / STRAT_mod2.15",0.730541225713093,0.452500296016096,1.06268006569512
"48","STRAT_mod1.08 / STRAT_mod2.88",0.853703129335273,0.667473587181076,1.07997843759446
"49","STRAT_mod1.08 / STRAT_mod3.37",0.867368045966134,0.684657086303709,1.05902165180958
"50","STRAT_mod1.44 / STRAT_mod2.15",2.03875968335477,1.15440738975895,3.07042882221967
"51","STRAT_mod1.44 / STRAT_mod2.88",2.39169033335733,1.69487060435132,3.23685420353468
"52","STRAT_mod1.44 / STRAT_mod3.37",2.43037016448394,1.75693286743184,3.22751489862338
"53","STRAT_mod2.15 / STRAT_mod2.88",1.17146452481265,0.71197824398849,1.72549701366985
"54","STRAT_mod2.15 / STRAT_mod3.37",1.18644212754567,0.75290535506698,1.75328937613964
"55","STRAT_mod2.88 / STRAT_mod3.37",1.01572493951294,0.788868678520277,1.26511614789091
