"","contrast","estimate","lower.HPD","upper.HPD"
"1","STRAT_mod0.1 - STRAT_mod0.14",0.148285602765384,-0.850545636050583,1.16326600298328
"2","STRAT_mod0.1 - STRAT_mod0.2",0.018763157432371,-0.896594026262846,1.11942860914866
"3","STRAT_mod0.1 - STRAT_mod0.24",0.0531841064342018,-1.00805167489807,1.06414320894152
"4","STRAT_mod0.1 - STRAT_mod0.3",-0.114668013093456,-1.13799164828947,0.758085733995813
"5","STRAT_mod0.1 - STRAT_mod0.82",-0.155218755050697,-1.05199297067452,0.727034018822906
"6","STRAT_mod0.1 - STRAT_mod1.08",-0.202693601283329,-1.20468450866144,0.570500850974781
"7","STRAT_mod0.1 - STRAT_mod1.44",0.314465246317553,-0.596221255914202,1.37618470552536
"8","STRAT_mod0.1 - STRAT_mod2.15",0.137340526123779,-0.713812700846859,1.23790786316772
"9","STRAT_mod0.1 - STRAT_mod2.88",0.381238506166909,-0.411146187472241,1.45370121299212
"10","STRAT_mod0.1 - STRAT_mod3.37",0.401322194755878,-0.334393702123066,1.52222340933807
"11","STRAT_mod0.1 - STRAT_mod13.67",0.278564582180422,-0.724150350474645,1.55537056070852
"12","STRAT_mod0.14 - STRAT_mod0.2",-0.126580006557731,-1.05065442408431,0.651015721665175
"13","STRAT_mod0.14 - STRAT_mod0.24",-0.108165560509633,-1.23434462323803,0.841897199861151
"14","STRAT_mod0.14 - STRAT_mod0.3",-0.288704482398032,-1.20335029345028,0.587150061158468
"15","STRAT_mod0.14 - STRAT_mod0.82",-0.328136860475098,-1.18243284449534,0.451876445527205
"16","STRAT_mod0.14 - STRAT_mod1.08",-0.383695925744121,-1.32477376528368,0.398020954658136
"17","STRAT_mod0.14 - STRAT_mod1.44",0.155345377324187,-0.630118819235065,1.09275125805784
"18","STRAT_mod0.14 - STRAT_mod2.15",-0.0104484753815512,-0.808908419610816,0.875846690277967
"19","STRAT_mod0.14 - STRAT_mod2.88",0.221735828463999,-0.48855189819659,1.03557109794563
